siteId,treeId,status,dbhCm,circumferenceCm,radiusM,fitPoints,sectionPointCount,angularCoverageRatio,residualM,verticality,validatedSlices,centerSpreadM,radiusCv,qaFlags
site-002,SITE-002-CFO-046,B_LOW_CONFIDENCE,45.988,144.475,0.22994,49,121,0.54167,0.01631,0.992,5,0.22368,0.092,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-047,C_STRUCTURE_RISK,57.978,182.144,0.28989,57,126,0.75,0.0221,0.998,4,0.22799,0.428,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-048,C_STRUCTURE_RISK,58.921,185.105,0.2946,48,125,0.70833,0.02493,1.0,5,0.24281,0.603,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-049,C_STRUCTURE_RISK,58.165,182.732,0.29083,56,125,0.70833,0.02302,0.996,4,0.16206,0.156,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-002,SITE-002-CFO-050,C_STRUCTURE_RISK,50.262,157.904,0.25131,39,69,0.66667,0.02056,0.999,5,0.15929,0.613,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-051,B_LOW_CONFIDENCE,14.654,46.036,0.07327,17,70,0.58333,0.00809,0.999,4,0.21686,0.542,CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-052,C_STRUCTURE_RISK,57.03,179.166,0.28515,56,108,0.54167,0.02187,0.998,4,0.16532,0.1,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-002,SITE-002-CFO-053,C_STRUCTURE_RISK,59.943,188.317,0.29972,65,151,0.66667,0.02361,0.999,3,0.07282,0.497,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-054,B_LOW_CONFIDENCE,42.281,132.829,0.2114,34,99,0.66667,0.01808,0.998,4,0.1831,0.153,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-055,C_STRUCTURE_RISK,57.816,181.633,0.28908,42,70,0.54167,0.02375,1.0,5,0.19654,0.601,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-056,B_LOW_CONFIDENCE,47.514,149.268,0.23757,35,95,0.66667,0.01925,0.993,4,0.10031,0.569,RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-057,B_LOW_CONFIDENCE,46.923,147.412,0.23461,28,72,0.625,0.01806,0.999,5,0.13872,0.466,RADIUS_VARIATION_HIGH
